f1,f2,f3,f4,f5,f6,f7,f8,f9,resp
  0.30826046,  0.27141564,  0.27144165,  0.29795966,  0.41663768,  0.25591188,  0.25652747,  0.34509236,  0.36371334, -0.00584611
  0.18027942,  0.16638636,  0.17018348,  0.20200412,  0.21691513,  0.15738432,  0.18100445,  0.20091137,  0.24688877, -0.00038416
  0.32795348,  0.26560164,  0.27439306,  0.30762245,  0.46791857,  0.24409057,  0.27644883,  0.35479513,  0.35549387, -0.00654956
  0.18463484,  0.16149104,  0.17195181,  0.19120459,  0.21500900,  0.16905188,  0.17324909,  0.18322609,  0.20100676, -0.00130141
  0.13296345,  0.11943570,  0.12122236,  0.13394769,  0.14213009,  0.11020356,  0.12068619,  0.12873287,  0.14540599,  0.00029205
  0.15762893,  0.14153278,  0.15574851,  0.16937259,  0.17148220,  0.14026225,  0.15089789,  0.17080271,  0.18329998, -0.00002573
  0.19825586,  0.16807553,  0.17873622,  0.20740997,  0.23886701,  0.15432723,  0.18213576,  0.19582336,  0.24594014, -0.00142745
  0.14941075,  0.13253289,  0.14556657,  0.16435169,  0.17387255,  0.12913980,  0.15169339,  0.15754872,  0.19511575, -0.00006108
  0.38692024,  0.28344543,  0.34328611,  0.36551645,  0.61137213,  0.26295673,  0.31435509,  0.38822151,  0.52773568, -0.00109013
  0.24414295,  0.20329360,  0.21815451,  0.29074069,  0.31513929,  0.18255044,  0.24565649,  0.24860705,  0.38831513, -0.00070253
  0.31585687,  0.26314875,  0.28119745,  0.34720342,  0.44446203,  0.23681660,  0.28666478,  0.33681681,  0.49913350, -0.00267544
  0.23135691,  0.19887437,  0.20210517,  0.21821321,  0.26371920,  0.17926155,  0.18751826,  0.21913125,  0.24267415, -0.00115266
  0.11796637,  0.11025225,  0.11030824,  0.13118820,  0.13159559,  0.10319874,  0.12121061,  0.12164613,  0.14775095, -0.00006751
  0.17776296,  0.15856445,  0.18110089,  0.20479167,  0.20494172,  0.16367116,  0.17943725,  0.21367279,  0.23761215,  0.00054406
  0.17853671,  0.15313450,  0.16692908,  0.17962615,  0.21469414,  0.14415075,  0.16865517,  0.17882766,  0.21671741, -0.00057274
  0.37178826,  0.29346598,  0.30263459,  0.33444067,  0.57439969,  0.26722785,  0.28255356,  0.40133146,  0.41958699, -0.00565056
  0.17806255,  0.16522066,  0.17076538,  0.18197226,  0.21067388,  0.16252150,  0.17271980,  0.19158461,  0.21273224, -0.00074202
  0.34012229,  0.26734715,  0.29239014,  0.31509858,  0.49830253,  0.25556734,  0.26814856,  0.35507014,  0.39643855, -0.00779485
